Pemburu;PEMB21-P01;Pemburu 00037;O-O-44B;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210124DR;2021-10-05 18:00:00;2021-10-09 15:00:00;2021-10-19 00:00:00;COMPLETE
Pemburu;PEMB21-P03;Pemburu 00038;O-O-65D;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210125DR;2021-10-19 00:00:00;2021-10-24 16:00:00;2021-11-02 00:00:00;COMPLETE
Bangko;BNK-P38;Bangko 00366;N1-W2-12A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210062DR;2021-11-02 00:00:00;2021-11-13 20:00:00;2021-11-25 22:00:00;COMPLETE
Bangko;BNK-P24;Bangko 00362;N2-W1-62A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210052DR;2021-11-25 22:00:00;2021-11-30 15:00:00;2021-12-10 22:00:00;COMPLETE
Bangko;BNK-P35;Bangko 00370;N1-W1-65A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210064DR;2021-12-10 22:00:00;2021-12-29 19:00:00;2022-01-17 15:00:00;COMPLETE
Bangko;BNK-P13;Bangko 00358;N1-W2-54A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210041DR;2022-01-17 15:00:00;2022-01-29 19:00:00;2022-02-10 10:30:00;COMPLETE
Duri;6R-88B;Duri 10913;6R-88B;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2220098DR;2022-02-10 10:30:00;2022-02-24 23:30:00;2022-03-13 10:00:00;COMPLETE
Duri;3H-53C;Duri 10925;3H-53C;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2220105DR;2022-03-13 10:00:00;2022-03-23 23:30:00;2022-04-06 16:00:00;COMPLETE
Duri;3G-0502B;Duri 10932;3G-0502B;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2220110DR;2022-04-06 16:00:00;2022-04-10 23:00:00;2022-05-02 19:00:00;COMPLETE
Duri;3G-1002C;Duri 10938;3G-1002C;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2220117DR;2022-05-02 19:00:00;2022-05-08 06:00:00;2022-05-20 19:00:00;COMPLETE
